Order Item ID,O.E.:,Job #:,Customer:,Qty.:,Part #,Rev,Contact:,DWG Rel.,M,Descriptions:,Price:,P.O. :,Packing Slip,Qty.:,Invoice:,Del. Req'd:,Del. Ship'd:,Delay:
774,38804,72238,Candu,1,RT-88230-0249-01-GA-D,,Angelica de la Barrera,3/20/2025,5,"Small Template,MK TP-3A","$16,803.50 ",RT98-88230-PN-R010,,,,24-Nov-25,,
775,38804,72239,Candu,1,RT-88230-0250-01-GA-D,,Angelica de la Barrera,3/20/2025,6,"Small Template,MK TP-3C","$17,217.82 ",RT98-88230-PN-R010,,,,24-Nov-25,,
776,38804,72240,Candu,1,RT-88230-0251-01-GA-D,,Angelica de la Barrera,3/20/2025,7,"Small Template,MK TP-4A","$17,288.48 ",RT98-88230-PN-R010,,,,24-Nov-25,,
777,38804,72241,Candu,1,RT-88230-0252-01-GA-D,,Angelica de la Barrera,3/20/2025,8,"Small Template,MK TP-4C","$15,059.18 ",RT98-88230-PN-R010,,,,24-Nov-25,,
778,38804,72242,Candu,2,RT-88230-0200-01-GA-E,,Angelica de la Barrera,3/20/2025,9,Upper Feeder Template Assy,"$84,206.32 ",RT98-88230-PN-R010,,,,24-Nov-25,,
,,,,,,,,,,,,,,,,,,
781,38825,72280,Candu,1,RT-87640-70300-000-1-GA-E,0,Brandon Kwakye-Longdon,4/1/2025,1,Mockup LWTF Trolley,"$122,666.00 ",RT98-87590-PN-R007,,,,15-Aug-25,,
1013,38825,72948,Candu,1,RT-87640-70300-000-1-GA-E,0,Laila Parveen,11/18/2025,2,LWTF Mock-UP Trolley Frame,"$45,623.00 ",RT98-87590-PN-R007-R1,,,,13-Mar-26,,
,,,,,,,,,,,,,,,,,,
782,38835,72297,Bombardier,15,Sketch,,Nesha,4/8/2025,1,BA Trench Cover,,,,,,28-Apr-25,,
,,,,,,,,,,,,,,,,,,
783,38848,72326,DJ Ind.,1,Sample,,Chris Morrison,4/23/2025,1,Valve to repair Worn Areas & Chrome,,,,,,2-May-25,,
784,38848,72327,DJ Ind.,1,Sample,,Chris Morrison,4/23/2025,2,Plunger Valve to Repair by Sleeve,,,,,,2-May-25,,
785,38848,72328,DJ Ind.,1,Sample,,Chris Morrison,4/23/2025,3,Hand Pump hone after chrome,,,,,,2-May-25,,
,,,,,,,,,,,,,,,,,,
788,38865,72367,Candu,4,RT-87250-74016-000-1-GA-E,5,Angelica DeLa Barrera,5/2/2025,1,Pitch Yaw Mounting Frame Tool,"$161,870.00 ",RT98-87000-PN-R012,,,,29-Jul-26,,
789,38865,72368,Candu,4,RT-87250-74010-000-1-GA-E,3,Angelica DeLa Barrera,5/2/2025,2,Pitch Yaw Mounting Table,"$181,755.00 ",RT98-87000-PN-R012,,,,29-Jul-26,,
,,,,,,,,,,,,,,,,,,
790,38867,72373,Candu,3,RT-87590-70000-000-1-GA-E,4,Sanchia Bartley-Ndiaye,5/5/2025,1,EFSF Removal Tool    (RT-7591-000-PRT),"$785,648.00 ",RT98-87590-PN-R006-R.1,,,,9-Oct-26,,
,,,,,,,,,,,,,,,,,,
791,38885,72395,Candu,1,RT-87630-71254-1000-1-GA-D,2,Ashna Irani-Kavasji,5/20/2025,1,VRS Manual Retrieval Tool,"$146,936.00 ",RT79-87630-PN-R005-R.1,,,,27-Aug-25,,
,,,,,,,,,,,,,,,,,,
792,38898,72422,Candu,1,RT-79112-0300-01-GA-E,0,Sanchia Bartley-Ndiaye,5/26/2025,1,Small Waste Transfer Flask,"$272,363.00 ",RT79-79112-PN-R002,,,,30-Nov-25,,
,,,,,,,,,,,,,,,,,,
793,38899,72425,Safran (Messier),1,DSK30906G01-113,,Pablo Garcida,5/27/2025,50,Loading Block,$345.00 ,4590038355,44570,1,52834,24-Jun-25,,
,,,,,,,,,,,,,,,,,,
794,38906,72438,Candu,3,RT-87250-0400-01-GA-E,,Sanchia Bartley-Ndiaye,6/2/2025,1,Installation Worktable,"$243,730.00 ",RT98-87250-PN-R007,,,,16-Oct-26,,
795,38906,72439,Candu,3,RT-87250-70000-5000-1-GA-B,,Sanchia Bartley-Ndiaye,6/2/2025,2,Inst. Worktable Support Frame,"$62,656.00 ",RT98-87250-PN-R007,,,,16-Oct-26,,
796,38906,72440,Candu,4,RT-87920-0303-01-GA-D,,Sanchia Bartley-Ndiaye,6/2/2025,3,CT Shield Sleeve- Short,"$31,479.00 ",RT98-87250-PN-R007,,,,16-Oct-26,,
797,38906,72441,Candu,6,RT-87920-0051-01-DD-C,,Sanchia Bartley-Ndiaye,62/25,4,Hook Assy For Extension Tool,$582.00 ,RT98-87250-PN-R007,,,,16-Oct-26,,
,,,,,,,,,,,,,,,,,,
800,38932,72502,BWXT(GE),118,213025-1,,William Won,6/26/2025,6,Front Plate,$46.10 ,721701- Rev.1,,,,21-Oct-25,,
,,,,,,,,,,,,,,,,,,
801,38933,72507,BWXT(GE),34,208374-1,,William Won,6/26/2025,5,Housing,$29.22 ,721704,44918,34,53183,21-Oct-25,1/13/2026,84
,,,,,,,,,,,,,,,,,,
802,38935,72517,Candu,3,RT-87840-70000-1000-1-GA-B,,Sanchia Bartley-Ndiaye,6/27/2025,1,CV FME Inspection Tool,"$253,143.00 ",RT79-87840-PN-R002-R.1,,,,17-Nov-25,,
1083,38935,72906,Candu,3,RT-87840-0220-01-GA-2,0,Laila Parveen,10/30/2025,2,Bearing Assy,"$29,698.00 ",RT79-87840-PN-R002-R.1,,,,5-Jan-26,,
,,,,,,,,,,,,,,,,,,
1084,38963,72573,Eclipse,4 +4,RT38-87850-1026-01-DD-C2,2,Lucy Poei,7/21/2025,3 + 4,Head Housing,"$4,557.00 ",169536,,,,21-Nov-25,,
,,,,,,,,,,,,,,,,,,
807,38966,72580,Candu,1,RT-87000-0097-1-GA-C,,Sanchia Bartley-Nidiaye,7/22/2025,1,CT Removal Protective Sleeve,"$6,252.00 ",RT98-88010-PN-R009,,,,29-Sep-25,,
808,38966,72581,Candu,1,RT-87000-70600-6000-1-GA-B,,Sanchia Bartley-Nidiaye,7/22/2025,2,CT Removal Thrust Sleeve,"$17,740.00 ",RT98-88010-PN-R009,,,,29-Sep-25,,
809,38966,72582,Candu,1,RT-88000-70067-000-1-GA-D,,Sanchia Bartley-Nidiaye,7/22/2025,3,Leak Test Tool Check Sleeve,"$1,545.00 ",RT98-88010-PN-R009,,,,29-Sep-25,,
810,38966,72583,Candu,2,RT-88010-0080-01-DD-B,,Sanchia Bartley-Nidiaye,7/22/2025,4,Bore Gauge Protective Sleeve,$512.00 ,RT98-88010-PN-R009,,,,29-Sep-25,,
,,,,,,,,,,,,,,,,,,
811,38970,72589,Candu,2,RT-88040-0040-01-DD-C,,Sanchia Bartley-Ndiaye,7/24/2025,1,Gauge Expander Tool- Ring Gauge,"$1,447.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
812,38970,72590,Candu,2,RT-88000-70034-000-1-GA-e,,Sanchia Bartley-Ndiaye,7/24/2025,2,Gauge AS Length Gauge,"$14,138.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
